Date,Team,Acquired,Relinquished,Notes
1995-04-22,Jets,&bull; Matt O'Dwyer,,second round pick (#33 overall)
1995-04-22,Lions,&bull; 1996 first round pick (#21-Pete Kendall),&bull; 1995 second round pick (#51-Terrell Fletcher),trade with Chargers
1995-04-22,Packers,&bull; Charlie Simmons,,sixth round pick (#173 overall)
1995-04-22,Packers,&bull; Craig Newsome,,first round pick (#32 overall)
1995-04-22,Panthers,&bull; Blake Brockermeyer,,first round pick (#29 overall)
1995-04-22,Panthers,&bull; Jerry Colquitt,,sixth round pick (#191 overall)
1995-04-22,Panthers,&bull; Tyrone Poole,,first round pick (#22 overall)
1995-04-22,Panthers,Steve Strahan,,sixth round pick (#188 overall)
1995-04-22,Patriots,&bull; 1995 fourth round pick (#112-Dave Wohlabaugh),&bull; 1996 third round pick (#68-John Browning),trade with Chiefs
1995-04-22,Buccaneers,&bull; Melvin Johnson (b),,second round pick (#43 overall)
1995-04-22,Chiefs,&bull; Steve Stenstrom,,fourth round pick (#134 overall)
1995-04-22,Patriots,&bull; Dave Wohlabaugh,,fourth round pick (#112 overall)
1995-04-22,Chargers,&bull; Chris Cowart,,fourth round pick (#100 overall)
1995-04-22,Chargers,&bull; Terrell Fletcher,,second round pick (#51 overall)
1995-04-22,Cowboys,&bull; Shane Hannah,,second round pick (#63 overall)
1995-04-22,Cowboys,&bull; Sherman Williams,,second round pick (#46 overall)
1995-04-22,Browns,&bull; Eric Zeier,,third round pick (#84 overall)
1995-04-22,Eagles,&bull; Mike Mamula,,first round pick (#7 overall)
1995-04-22,Packers,&bull; Darius Holland,,third round pick (#65 overall)
1995-04-23,Browns,&bull; 1995 fifth round pick (#147-Mike Miller (a))<br/>&bull; 1996 fifth round pick (#157-Kenneth McDaniel),&bull; 1995 fourth round pick (#119-Dave Barr),trade with Eagles
1995-04-23,Chiefs,&bull; 1996 sixth round pick (#176-Dietrich Jells),&bull; 1995 sixth round pick (#191-Jerry Colquitt),trade with Panthers
1995-04-23,Eagles,&bull; 1995 fourth round pick (#119-Dave Barr),&bull; 1995 fifth round pick (#147-Mike Miller (a))<br/>&bull; 1996 fifth round pick (#157-Kenneth McDaniel),trade with Browns
1995-04-23,Giants,&bull; Vencie Glenn<br/>&bull; 1996 sixth round pick (#182-Scott Galyon),&bull; 1995 sixth round pick (#189-John Solomon)<br/>&bull; 1996 fifth round pick (#137-James Dexter),trade with Vikings
1995-04-23,Panthers,&bull; 1995 sixth round pick (#191-Jerry Colquitt),&bull; 1996 sixth round pick (#176-Dietrich Jells),trade with Chiefs
1995-04-23,Raiders,&bull; 1995 fifth round pick (#138-Matt Dyson),&bull; 1995 fifth round pick (#152-Rich Owens)<br/>&bull; 1995 seventh round pick (#226-Scott Turner),trade with Redskins
1995-04-23,Raiders,&bull; Matt Dyson,,fifth round pick (#138 overall)
1995-04-23,Redskins,&bull; 1995 fifth round pick (#152-Rich Owens)<br/>&bull; 1995 seventh round pick (#226-Scott Turner),&bull; 1995 fifth round pick (#138-Matt Dyson),trade with Raiders
1995-04-23,Vikings,&bull; 1995 sixth round pick (#189-John Solomon)<br/>&bull; 1996 fifth round pick (#137-James Dexter),&bull; Vencie Glenn<br/>&bull; 1996 sixth round pick (#182-Scott Galyon),trade with Giants
1995-04-23,Browns,&bull; 1995 seventh round pick (#231-A.C. Tellison),&bull; 1995 seventh round pick (#234-Carlos Yancy),trade with Patriots
1995-04-23,Eagles,&bull; 1995 sixth round pick (#208-Fred McCrary)<br/>&bull; two 1995 seventh round picks (#210-Kevin Bouie) (#248-Howard Smothers),&bull; 1995 fifth round pick (#169-Ryan Christopherson)<br/>&bull; 1995 seventh round pick (#219-Curtis Marsh (a)),trade with Jaguars
1995-04-23,Jaguars,&bull; 1995 fifth round pick (#169-Ryan Christopherson)<br/>&bull; 1995 seventh round pick (#219-Curtis Marsh (a)),&bull; 1995 sixth round pick (#208-Fred McCrary)<br/>&bull; two 1995 seventh round picks (#210-Kevin Bouie) (#248-Howard Smothers),trade with Eagles
1995-04-23,Patriots,&bull; 1995 seventh round pick (#234-Carlos Yancy),&bull; 1995 seventh round pick (#231-A.C. Tellison),trade with Browns
1995-04-23,Eagles,&bull; Fred McCrary,,sixth round pick (#208 overall)
1995-04-23,Eagles,&bull; Howard Smothers,,seventh round pick (#248 overall)
1995-04-23,Jaguars,&bull; Curtis Marsh (a),,seventh round pick (#219 overall)
1995-04-23,Patriots,&bull; Carlos Yancy,,seventh round pick (#234 overall)
1995-04-24,Cowboys,&bull; Oronde Gadsden,,signed free agent
1995-04-24,Lions,&bull; Ron Rice,,signed undrafted free agent
1995-04-24,Seahawks,,Dan McGwire,lost free agent (to Dolphins)
1995-04-24,Dolphins,&bull; Dan McGwire,,signed free agent (from Seahawks)
1995-04-25,Broncos,&bull; Byron Chamberlain,,seventh round pick (#222 overall)
1995-04-25,Browns,&bull; Lorenzo White (a),,signed free agent
1995-04-25,Buccaneers,&bull; Marc Spindler,,signed free agent
1995-04-25,Dolphins,Joe Nedney,,signed free agent
1995-04-25,Jets,&bull; Wayne Chrebet,,signed free agent
1995-04-25,Bears,,&bull; Peter Tom Willis,lost free agent (to Buccaneers)
1995-04-25,Buccaneers,&bull; Peter Tom Willis,,signed free agent (from Bears) to a 1-year contract
1995-04-26,49ers,&bull; Ryan Kuehl,,signed undrafted free agent
1995-04-26,49ers,&bull; Willie Whitehead,,signed undrafted free agent
1995-04-26,Bills,,&bull; Bill Brooks / Billy Brooks,waived
1995-04-26,Cowboys,&bull; Mike Gruttadauria,,signed free agent
1995-04-26,Lions,&bull; Mark Royals,,signed free agent
1995-04-26,Panthers,Don Beebe,,"signed free agent to a 2-year, $1.5M contract"
1995-04-26,Seahawks,&bull; Donald Willis,,signed free agent
1995-04-27,Buccaneers,&bull; 1996 first round pick (#22-Marcus Jones)<br/>&bull; 1996 conditional fourth round pick (not exercised),&bull; Craig Erickson,trade with Colts
1995-04-27,Colts,&bull; Craig Erickson,&bull; 1996 first round pick (#22-Marcus Jones)<br/>&bull; 1996 conditional fourth round pick (not exercised),trade with Buccaneers
1995-04-27,Cowboys,&bull; Josh Evans (a),,signed free agent
1995-04-27,Redskins,&bull; Reggie Jones (a),,signed non-drafted free agent
1995-04-28,Cardinals,&bull; Kwamie Lassiter,,signed free agent
1995-04-28,Chargers,&bull; Riddick Parker,,signed free agent
1995-04-28,Jets,&bull; Don Davis (b),,signed undrafted free agent
1995-04-30,Colts,&bull; Ashley Ambrose,,re-signed
1995-04-30,Colts,&bull; Scott Radecic,,re-signed
1995-04-30,Dolphins,&bull; Gary Clark,,signed to a 2-year contract
1995-04-30,Giants,&bull; Derek Allen,,signed
1995-05-01,Bears,&bull; Fabien Bownes,,signed undrafted free agent (date approximate)
1995-05-01,Buccaneers,&bull; Kelly Holcomb,,signed undrafted free agent
1995-05-01,Dolphins,&bull; Brent Moss,,signed free agent
1995-05-01,Saints,&bull; Mitchell Benson,,signed to a 1-year contract
1995-05-01,Saints,&bull; Travis Moore,,signed to a 1-year contract
1995-05-01,Saints,Kelvin Ingra,,signed to a 1-year contract
1995-05-02,Chargers,&bull; Bobby Beathard,,re-signed as GM to a contract extension through 1999
1995-05-02,Chargers,&bull; Bobby Ross,,re-signed as head coach to a contract extension through 1999
1995-05-08,Dolphins,,&bull; Cleveland Gary,lost free agent (to Rams)
1995-05-08,Rams,&bull; Cleveland Gary,,signed free agent (from Dolphins)
1995-05-15,49ers,Frank Pollack,,signed to a 1-year contract
1995-05-15,Eagles,&bull; Bob Ackles,,hired as director of football administration
1995-05-15,Oilers,,&bull; Ernest Givins,released
1995-05-15,Steelers,&bull; Kendall Gammon,,re-signed
1995-05-18,Giants,,&bull; William Roberts,released
1995-05-20,Browns,&bull; Harold Bishop,&bull; 1996 second round pick (#35-Mike Alstott),trade with Buccaneers (date approximate)
1995-05-20,Buccaneers,&bull; 1996 second round pick (#35-Mike Alstott),&bull; Harold Bishop,trade with Browns (date approximate)
1995-05-30,Jaguars,&bull; Ty Hallock,&bull; Corey Raymond,trade with Lions
1995-05-30,Lions,&bull; Corey Raymond,&bull; Ty Hallock,trade with Jaguars
1995-05-30,Panthers,&bull; Barry Foster,&bull; 1996 sixth round pick (#192-Bryan Stoltenberg),trade with Steelers
1995-05-30,Steelers,&bull; 1996 sixth round pick (#192-Bryan Stoltenberg),&bull; Barry Foster,trade with Panthers
1995-06-02,Jaguars,&bull; James Stewart (b),,signed first round pick
1995-06-02,Jaguars,&bull; Tony Boselli,,signed first round pick
1995-06-02,Dolphins,,&bull; Craig Veasey,lost free agent (to Oilers)
1995-06-02,Oilers,&bull; Craig Veasey,,signed free agent (from Dolphins)
1995-06-05,Jaguars,&bull; Mike Hollis,,signed free agent
1995-06-05,Dolphins,,&bull; Chris Green,lost free agent (to Bills)
1995-06-05,Bills,&bull; Chris Green,,signed free agent (from Dolphins)
1995-06-17,Chargers,&bull; Leo Araguz,,signed free agent
1995-06-19,Bills,&bull; Darick Holmes,,signed seventh round pick
1995-06-19,Chargers,,&bull; David Griggs,died
1995-06-19,Jets,&bull; Alan Young,,signed
1995-06-19,Jets,&bull; Vaughn Bryant,,signed free agent
1995-06-19,Jets,Don Silvestri,,signed free agent
1995-06-19,Dolphins,,&bull; James Saxon,lost free agent (to Chiefs)
1995-06-19,Chiefs,&bull; James Saxon,,signed free agent (from Dolphins)
1995-06-27,Bengals,&bull; Jeremy Patterson,,signed
1995-06-27,Bills,&bull; Justin Armour,,signed fourth round pick
1995-06-27,Bills,&bull; Shannon Clavelle,,signed sixth round pick
1995-06-27,Bills,Blaise Winter,,signed
1995-06-27,Eagles,&bull; Fred McCrary,,signed sixth round pick
1995-06-27,Eagles,&bull; Howard Smothers,,signed seventh round pick
1995-06-27,Eagles,&bull; Ken Moyer,,signed
1995-06-27,Jets,,&bull; Johnny Johnson,released
1995-06-27,Patriots,&bull; Carlos Yancy,,signed seventh round pick
1995-06-27,Patriots,&bull; Dave Wohlabaugh,,signed fourth round pick
1995-07-01,49ers,&bull; Marc Trestman,,hired as offensive coordinator and quarterbacks coach (date approximate)
1995-07-01,Colts,,&bull; Dean Biasucci,lost free agent (to Steelers) (date approximate)
1995-07-01,Colts,,&bull; Thomas Sims,lost free agent (to Vikings) (date approximate)
1995-07-01,Colts,,&bull; Zefross Moss,lost free agent (to Lions) (date approximate)
1995-07-01,Colts,&bull; Ed West,,signed free agent (date approximate)
1995-07-01,Dolphins,&bull; Johnnie Mitchell / Johnny Mitchell,,signed free agent (date approximate)
1995-07-01,Eagles,&bull; Freddie Solomon (b),,signed undrafted free agent (date approximate)
1995-07-01,Eagles,&bull; Joe Rudolph,,signed undrafted free agent (date approximate)
1995-07-01,Eagles,&bull; Kurt Gouveia,,signed free agent (date approximate)
1995-07-01,Eagles,&bull; Mark Gunn,,signed free agent (date approximate)
1995-07-01,Eagles,&bull; Sylvester Wright,,signed undrafted free agent (date approximate)
1995-07-01,Lions,&bull; Zefross Moss,,signed free agent (from Colts) (date approximate)
1995-07-01,Rams,&bull; Rich Brooks,,hired as head coach (date approximate)
1995-07-01,Steelers,&bull; Dean Biasucci,,signed free agent (from Colts) (date approximate)
1995-07-01,Vikings,&bull; Thomas Sims,,signed free agent (from Colts) (date approximate)
1995-07-01,Colts,,&bull; Rohn Stark,lost free agent (to Steelers) (date approximate)
1995-07-01,Rams,,&bull; Willie Anderson / Flipper Anderson,lost free agent (to Colts) (date approximate)
1995-07-01,Colts,&bull; Willie Anderson / Flipper Anderson,,signed free agent (from Rams) (date approximate)
1995-07-01,Steelers,&bull; Rohn Stark,,signed free agent (from Colts) (date approximate)
1995-07-06,Colts,&bull; Freddie Joe Nunn,,re-signed
1995-07-06,Giants,&bull; James Williams,,signed
1995-07-06,Giants,Rob Zatechka,,signed fourth round pick
1995-07-06,Steelers,&bull; William Lofton (Billy Lofton?),,signed
1995-07-11,Dolphins,&bull; Doug Pederson,,signed free agent
1995-07-15,Cowboys,&bull; Kendell Watkins,,signed second round pick to a 3-year contract
1995-07-15,Cowboys,&bull; Oscar Sturgis / Oscar Sturgiss (AP),,signed seventh round pick to a 3-year contract
1995-07-17,49ers,&bull; Adam Walker,,signed
1995-07-17,49ers,&bull; Antonio Armstrong,,signed
1995-07-17,49ers,&bull; Dave Hoffman,,signed
1995-07-17,49ers,&bull; Elvis Grbac,,signed
1995-07-17,49ers,&bull; Tim Hanshaw,,signed fourth round pick
1995-07-17,Bears,&bull; Jeremy Lincoln,,re-signed to a 3-year contract
1995-07-17,Bears,&bull; Kevin Miniefield,,signed to a 2-year contract
1995-07-17,Bears,&bull; Mike Faulkerson,,signed
1995-07-17,Bears,&bull; Raymond Roberts,,signed
1995-07-17,Bears,Ryan Wetnight,,signed to a 2-year contract
1995-07-17,Bengals,&bull; Melvin Tuten,,signed third round pick to a 3-year contract
1995-07-17,Browns,,&bull; Reginald Jones / Reggie Jones (M.),released
1995-07-17,Cardinals,&bull; Ed Cunningham,,signed to a 1-year contract
1995-07-17,Cardinals,&bull; Frank Sanders,,signed second round pick
1995-07-17,Cardinals,&bull; Sabastian Barrie,,signed free agent
1995-07-17,Chargers,&bull; Aaron Hayden,,signed fourth round pick
1995-07-17,Chargers,&bull; Brandon Harrison (a),,signed sixth round pick
1995-07-17,Chargers,&bull; Chris Cowart,,signed
1995-07-17,Chargers,&bull; Don Sasa,,signed third round pick
1995-07-17,Chargers,&bull; Omar Ellison / O'Mar Ellison,,signed fifth round pick
1995-07-17,Chargers,&bull; Preston Harrison,,signed
1995-07-17,Chargers,&bull; Ron Middleton,,signed
1995-07-17,Chargers,Troy Sienkiewicz,,signed
1995-07-17,Cowboys,,&bull; Lincoln Coleman,released
1995-07-17,Cowboys,&bull; Dana Howard,,signed fifth round pick
1995-07-17,Jets,&bull; Kyle Brady,,signed first round pick to a 3-year contract
1995-07-17,Packers,&bull; Jay Barker,,signed fifth round pick
1995-07-17,Packers,&bull; Jeff Miller,,signed
1995-07-17,Packers,&bull; William Henderson,,signed third round pick
1995-07-17,Rams,Zach Wiegert,,signed second round pick to a 3-year contract
1995-07-17,Saints,&bull; Lorenzo Neal,,signed fourth round pick to a 1-year contract
1995-07-17,Seahawks,,&bull; Beno Bryant,waived
1995-07-17,Seahawks,,Bill Hitchcock,waived
1995-07-17,Seahawks,&bull; Christian Fauria,,signed second round pick to a 3-year contract
1995-07-17,Seahawks,&bull; Eddie Goines,,signed sixth round pick to a 2-year contract
1995-07-17,Seahawks,&bull; Michael McCrary,,signed seventh round pick
1995-07-17,Seahawks,&bull; Orlando Watters,,signed
1995-07-17,Seahawks,Bob Spitluski,,signed
1995-07-17,Seahawks,Jason Kyle,,signed fourth round pick to a 3-year contract
1995-07-17,Steelers,&bull; Kordell Stewart,,signed second round pick to a 4-year contract
1995-07-17,Steelers,&bull; Lethon Flowers / Lee Flowers,,signed fifth round pick
1995-07-17,Steelers,Brenden Stai,,signed third round pick
1995-07-18,Falcons,&bull; Mark Dixon,,signed free agent
1995-07-21,Falcons,,&bull; Norm Johnson,waived (date approximate)
1995-07-21,Falcons,&bull; Morten Andersen,,signed free agent
1995-07-23,Eagles,&bull; Gary Anderson,,signed free agent
1995-07-25,Browns,&bull; Brandon Bennett,,signed undrafted free agent
1995-07-25,Oilers,Steve McNair,,signed first round pick
1995-07-26,Jaguars,&bull; Rich Tylski,,claimed off waivers
1995-08-01,Browns,,&bull; Bill Johnson,lost off waivers (to Bengals)
1995-08-01,Bengals,&bull; Bill Johnson,,claimed off waivers (from Browns)
1995-08-08,49ers,&bull; Marion Butts,,signed
1995-08-08,Bears,,&bull; Trevor Cobb,waived
1995-08-08,Bills,,&bull; Myron Glass,released
1995-08-08,Bills,,&bull; Terry Quinn,released
1995-08-08,Bills,Peter Tuffo,,signed free agent
1995-08-08,Browns,,&bull; Avrom Smith,released
1995-08-08,Browns,,&bull; Ted Rogers,released
1995-08-08,Browns,,&bull; Trumane Bell,released
1995-08-08,Chargers,&bull; Natrone Means,,signed second round pick to a 4-year contract
1995-08-08,Eagles,,&bull; Chris O'Brien,released
1995-08-08,Falcons,&bull; Devin Bush,,signed first round pick to a 4-year contract
1995-08-08,Giants,,&bull; Tyler Lawrence,waived
1995-08-08,Giants,,Chris Mazyck,waived
1995-08-08,Redskins,,&bull; Chip Lohmiller,waived
1995-08-08,Redskins,&bull; Eddie Murray,,signed free agent
1995-08-08,Cardinals,,&bull; Jim McMahon,lost free agent (to Browns)
1995-08-08,Browns,&bull; Jim McMahon,,signed free agent (from Cardinals)
1995-08-11,Packers,&bull; Mike Arthur,&bull; Jeff Wilner<br/>&bull; Bill Schroeder,trade with Patriots
1995-08-11,Patriots,&bull; Jeff Wilner<br/>&bull; Bill Schroeder,&bull; Mike Arthur,trade with Packers
1995-08-15,Jets,&bull; Chad Eaton,,signed free agent
1995-08-21,Browns,&bull; past considerations (?),&bull; Ray Ethridge,trade with Panthers
1995-08-21,Browns,&bull; seventh round pick (1996 #238-Jon Stark),&bull; Ronnie Dixon,trade with Eagles
1995-08-21,Eagles,&bull; Ronnie Dixon,&bull; seventh round pick (1996 #238-Jon Stark),trade with Browns
1995-08-21,Panthers,&bull; Ray Ethridge,&bull; past considerations (?),trade with Browns
1995-08-22,Redskins,,&bull; Reggie Jones (a),released
1995-08-24,Packers,&bull; Mitch Berger,,claimed off waivers
1995-08-26,Buccaneers,&bull; 1996 fourth round pick (#96-Jason Odom),&bull; Marc Spindler<br/>&bull; Charles Wilson,trade with Jets
1995-08-26,Jets,&bull; Marc Spindler<br/>&bull; Charles Wilson,&bull; 1996 fourth round pick (#96-Jason Odom),trade with Buccaneers
1995-08-27,49ers,,&bull; Antonio Armstrong,waived
1995-08-27,49ers,,&bull; Burt Grossman,waived
1995-08-27,49ers,,&bull; Darin Jordan,waived
1995-08-27,49ers,,&bull; Marion Butts,waived
1995-08-27,49ers,,&bull; Theo Adams,waived
1995-08-27,49ers,,&bull; Tim Jorden / Tim Jordan,waived
1995-08-27,49ers,,&bull; Troy Wilson,waived
1995-08-27,Buccaneers,,&bull; Cedric Saunders,waived
1995-08-27,Buccaneers,,&bull; Clarence Verdin,waived
1995-08-27,Buccaneers,,&bull; Herman Smith (a),waived
1995-08-27,Buccaneers,,&bull; Todd Philcox,waived
1995-08-27,Buccaneers,,&bull; Vince Workman,waived
1995-08-27,Chargers,,&bull; Chris Cowart,released
1995-08-27,Chargers,,&bull; Cornell Thomas,released
1995-08-27,Chargers,,&bull; Earnest Greene,released
1995-08-27,Chargers,,&bull; Gerald Slovacek,released
1995-08-27,Chargers,,&bull; Vernon Edwards,released
1995-08-27,Chiefs,,&bull; James Saxon,released
1995-08-27,Chiefs,,&bull; Rick Hamilton,released
1995-08-27,Chiefs,,&bull; Ron Childs,released
1995-08-27,Chiefs,,&bull; Tim Barndt / Tom Barndt?,released
1995-08-27,Chiefs,&bull; 1996 fifth round pick (#161-Harry Stamps),&bull; Lindsay Knapp,trade with Packers
1995-08-27,Chiefs,&bull; 1996 undisclosed pick (#211-Ben Lynch),&bull; Tracy Greene,trade with Steelers
1995-08-27,Dolphins,,&bull; Brent Moss,waived
1995-08-27,Dolphins,,&bull; Calvin Jackson,waived
1995-08-27,Dolphins,,&bull; Chico Nelson,waived
1995-08-27,Dolphins,,&bull; Demeris Johnson,waived
1995-08-27,Dolphins,,&bull; Joe Planansky,waived
1995-08-27,Dolphins,,&bull; Tyoka Jackson,waived
1995-08-27,Dolphins,&bull; Mike Williams (J.)?,&bull; Pete Mitchell,trade with Jaguars
1995-08-27,Eagles,,&bull; Andre Allen,released
1995-08-27,Eagles,,&bull; Freddie Solomon (b),released
1995-08-27,Eagles,,&bull; Joe Rudolph,released
1995-08-27,Eagles,,&bull; Maurice Johnson,released
1995-08-27,Eagles,,&bull; Ron Dickerson Jr.,released
1995-08-27,Eagles,,&bull; Sylvester Wright,released
1995-08-27,Eagles,&bull; 1996 sixth round pick (#197-Tony Johnson (V.)),&bull; Joe Sims,trade with Packers
1995-08-27,Jaguars,&bull; Pete Mitchell,&bull; Mike Williams (J.)?,trade with Dolphins
1995-08-27,Jets,,&bull; Alan Allen,released
1995-08-27,Jets,,&bull; Alan Young,released
1995-08-27,Jets,,&bull; Chad Cascadden,released
1995-08-27,Jets,,&bull; Chad Eaton,released
1995-08-27,Jets,,&bull; Curtis Ceaser,released
1995-08-27,Jets,,&bull; Don Davis (b),released
1995-08-27,Jets,,&bull; Sheridan May,released
1995-08-27,Jets,,&bull; Terrence Wisdom,released
1995-08-27,Packers,&bull; Joe Sims,&bull; 1996 sixth round pick (#197-Tony Johnson (V.)),trade with Eagles
1995-08-27,Packers,&bull; Lindsay Knapp,&bull; 1996 fifth round pick (#161-Harry Stamps),trade with Chiefs
1995-08-27,Packers,&bull; past considerations (?),&bull; Ferric Collons,trade with Patriots
1995-08-27,Patriots,,&bull; Bill Schroeder,released
1995-08-27,Patriots,,&bull; Carlos Yancy,released
1995-08-27,Patriots,,&bull; Doug Skene,released
1995-08-27,Patriots,,&bull; Jay Walker,released
1995-08-27,Patriots,,&bull; Jeff Wilner,released
1995-08-27,Patriots,,&bull; Mike Pitts,released
1995-08-27,Patriots,,&bull; Sylvester Stanley,released
1995-08-27,Patriots,&bull; Ferric Collons,&bull; past considerations (?),trade with Packers
1995-08-27,Raiders,,&bull; Dan Land,released
1995-08-27,Raiders,,&bull; Kevin Johnson,released
1995-08-27,Raiders,,&bull; Marcus Hinton,released
1995-08-27,Raiders,,&bull; Sean Foster,released
1995-08-27,Raiders,,&bull; Ty Montgomery (a),released
1995-08-27,Raiders,,&bull; Wes Bender,released
1995-08-27,Rams,,&bull; Anthony Newman,released
1995-08-27,Rams,,&bull; Bill Kushner,released
1995-08-27,Rams,,&bull; Bronzell Miller,released
1995-08-27,Rams,,&bull; James Bostic,released
1995-08-27,Rams,,&bull; Jon Kirksey,released
1995-08-27,Rams,,&bull; Richard Newbill / Ricky Newbill,released
1995-08-27,Rams,,&bull; Rickey Brady,released
1995-08-27,Rams,,&bull; Tommy Maddox,released
1995-08-27,Redskins,,&bull; Bobby Olive,released
1995-08-27,Redskins,,&bull; Jeffrey Rodgers,released
1995-08-27,Redskins,,&bull; Olanda Truitt,released
1995-08-27,Redskins,,&bull; Ron Lewis (a),released
1995-08-27,Redskins,,&bull; Sebastian Savage,released
1995-08-27,Redskins,,&bull; Tyrone Rush,released
1995-08-27,Saints,,&bull; Cary Blanchard,released
1995-08-27,Saints,,&bull; James Fuller,released
1995-08-27,Saints,,&bull; Marty Thompson,released
1995-08-27,Saints,,&bull; Tom Roth,released
1995-08-27,Saints,,&bull; Tyrone Johnson,released
1995-08-27,Seahawks,,&bull; Dexter Seigler,released
1995-08-27,Seahawks,,&bull; Matt Werner,released
1995-08-27,Seahawks,,&bull; Michael Bates,waived
1995-08-27,Seahawks,,&bull; Terrance Warren,released
1995-08-27,Steelers,,&bull; Anthony Daigle,released
1995-08-27,Steelers,,&bull; Dean Biasucci,released
1995-08-27,Steelers,,&bull; Henry Bailey,released
1995-08-27,Steelers,,&bull; Jeff Zgonina,waived
1995-08-27,Steelers,,&bull; Rico Mack,released
1995-08-27,Steelers,,&bull; Todd Kalis,released
1995-08-27,Steelers,,&bull; Walter Rasby / Walt Rasby,released
1995-08-27,Steelers,&bull; Tracy Greene,&bull; 1996 undisclosed pick (#211-Ben Lynch),trade with Chiefs
1995-08-27,Vikings,,&bull; Ashley Sheppard,released
1995-08-27,Vikings,,&bull; Earl Mackey,released
1995-08-27,Vikings,,&bull; John Solomon,released
1995-08-27,Vikings,,&bull; Keith Washington,released
1995-08-27,Vikings,,&bull; Malik Boyd,released
1995-08-27,Vikings,,&bull; Robert Staten,released
1995-08-27,Vikings,,&bull; Shelly Hammonds,released
1995-08-27,Vikings,,&bull; Thomas Sims,released
1995-08-28,Bears,,&bull; Darwin Ireland,waived
1995-08-28,Bears,,&bull; Fabien Bownes,waived
1995-08-28,Bears,,&bull; Jamal Cox,waived
1995-08-28,Bears,,&bull; Kenny Shedd,waived
1995-08-28,Bears,,&bull; Marlon Forbes,waived
1995-08-28,Bears,,&bull; Mike Faulkerson,waived
1995-08-28,Bears,,&bull; Octus Polk,waived
1995-08-28,Bengals,,&bull; Adrian Hardy,waived
1995-08-28,Bengals,,&bull; David Rhodes,waived
1995-08-28,Bengals,,&bull; Fernandus Vinson,waived
1995-08-28,Bengals,,&bull; Mike Flores,waived
1995-08-28,Bengals,,&bull; Ryan Grigson,waived
1995-08-28,Bengals,,&bull; Thomas Bailey,waived
1995-08-28,Bengals,,&bull; Vince Stewart,waived
1995-08-28,Bills,,&bull; Che Foster,released
1995-08-28,Bills,,&bull; Mike Sheldon,released
1995-08-28,Bills,,&bull; Rick Strom,released
1995-08-28,Bills,,&bull; Shannon Clavelle,released
1995-08-28,Bills,,&bull; Tom Nutten,released
1995-08-28,Bills,,&bull; Tyrone Williams,released
1995-08-28,Broncos,,&bull; Byron Chamberlain,released
1995-08-28,Broncos,,&bull; Darrick Owens,released
1995-08-28,Broncos,,&bull; David Diaz-Infante,released
1995-08-28,Broncos,,&bull; Maa Tanuvasa / Ma'a Tanuvasa,released
1995-08-28,Broncos,,&bull; Phil Yeboah-Kodie,released
1995-08-28,Broncos,,&bull; Willie Oshodin,released
1995-08-28,Broncos,,&bull; Wymon Henderson,released
1995-08-28,Browns,,&bull; Brad Goebel,released
1995-08-28,Browns,,&bull; Elliott Fortune,released
1995-08-28,Browns,,&bull; Jim McMahon,released
1995-08-28,Browns,,&bull; Ricky Powers,released
1995-08-28,Cardinals,,&bull; Billy Williams,waived
1995-08-28,Cardinals,,&bull; Carlos Brooks,waived
1995-08-28,Cardinals,,&bull; Lance Scott,waived
1995-08-28,Cardinals,,&bull; Pat Meyer,waived
1995-08-28,Cardinals,,&bull; Rob Selby,released
1995-08-28,Cardinals,,&bull; Sabastian Barrie,waived
1995-08-28,Cardinals,,&bull; Walter Dunson,waived
1995-08-28,Chargers,,&bull; Nate Dingle,released
1995-08-28,Colts,,&bull; Carl Smith,waived
1995-08-28,Colts,,&bull; David Wilkins,waived
1995-08-28,Colts,,&bull; John Covington,waived
1995-08-28,Colts,,&bull; Jon Stevenson,waived
1995-08-28,Colts,,&bull; Lamar Harris,waived
1995-08-28,Colts,,&bull; Warner Smith,waived
1995-08-28,Cowboys,,&bull; Bucky Richardson,released
1995-08-28,Cowboys,,&bull; Dana Howard,released
1995-08-28,Cowboys,,&bull; Greg Briggs,released
1995-08-28,Cowboys,,&bull; Jerry Reynolds,released
1995-08-28,Cowboys,,&bull; Linc Harden,released
1995-08-28,Cowboys,,&bull; Mu Tagoai,released
1995-08-28,Cowboys,&bull; Nate Newton,,re-signed to a contract extension through 1997
1995-08-28,Falcons,,&bull; Dunstan Anderson,released
1995-08-28,Falcons,,&bull; Dwayne Gordon,released
1995-08-28,Falcons,,&bull; Lincoln Coleman,released
1995-08-28,Falcons,,&bull; Nate Lewis,released
1995-08-28,Falcons,,&bull; Thomas McHale / Tom McHale (NYT),released from practice squad
1995-08-28,Falcons,&bull; Gene Williams (b),&bull; 1996 fifth round pick (#153-Jermaine Lewis),trade with Ravens
1995-08-28,Giants,,&bull; Brian Saxton,waived
1995-08-28,Giants,,&bull; Chris Maumalanga,waived
1995-08-28,Giants,,&bull; Chuck Bradley (a),waived
1995-08-28,Giants,,&bull; Gary Downs,waived
1995-08-28,Giants,,&bull; Keith Wagner,waived
1995-08-28,Giants,,&bull; Kenyon Rasheed,waived
1995-08-28,Giants,,&bull; Roderick Mullen,waived
1995-08-28,Jaguars,,&bull; Brant Boyer,released
1995-08-28,Jaguars,,&bull; Curtis Marsh (a),released
1995-08-28,Jaguars,,&bull; Deral Boykin,released
1995-08-28,Jaguars,,&bull; Dexter McNabb,released
